thesis_class,label,source_table,count,models_seen_in,decision,reason
buildings,palace,top5,550,3,,
buildings,bell cote,top5,449,3,,
buildings,monastery,top5,390,3,,
buildings,church,top5,248,3,,
buildings,palace,top1,234,3,,
buildings,boathouse,top5,216,3,,
buildings,cinema,top5,207,3,,
buildings,mobile home,top5,206,3,,
buildings,lakeside,top5,201,3,,
buildings,solar dish,top5,195,3,,
buildings,prison,top5,190,3,,
buildings,castle,top5,189,3,,
buildings,library,top5,173,3,,
buildings,pier,top5,146,3,,
buildings,flagpole,top5,141,3,,
buildings,mosque,top5,135,3,,
buildings,planetarium,top5,133,3,,
buildings,obelisk,top5,119,3,,
buildings,dome,top5,117,3,,
buildings,patio,top5,115,3,,
buildings,bell cote,top1,100,3,,
buildings,triumphal arch,top5,100,3,,
buildings,beacon,top5,99,3,,
buildings,steel arch bridge,top5,89,3,,
buildings,cab,top5,87,3,,
buildings,crane,top5,85,3,,
buildings,streetcar,top5,85,3,,
buildings,airship,top5,80,3,,
buildings,seashore,top5,80,3,,
buildings,mobile home,top1,78,3,,
buildings,scoreboard,top5,78,3,,
buildings,worm fence,top5,78,3,,
buildings,street sign,top5,75,3,,
buildings,monastery,top1,74,3,,
buildings,picket fence,top5,74,3,,
buildings,barn,top5,69,3,,
buildings,traffic light,top5,66,3,,
buildings,thatch,top5,65,3,,
buildings,cinema,top1,59,3,,
buildings,boathouse,top1,58,3,,
buildings,dock,top5,58,3,,
buildings,fountain,top5,57,3,,
buildings,drilling platform,top5,51,3,,
buildings,pedestal,top5,51,3,,
buildings,solar dish,top1,50,3,,
buildings,trolleybus,top5,50,3,,
buildings,gondola,top5,48,3,,
buildings,liner,top5,47,3,,
buildings,container ship,top5,46,3,,
buildings,tile roof,top5,46,3,,
buildings,fireboat,top5,44,3,,
buildings,moving van,top5,44,3,,
buildings,lakeside,top1,43,3,,
buildings,planetarium,top1,41,3,,
buildings,dam,top5,40,3,,
buildings,prison,top1,40,3,,
buildings,water tower,top5,40,3,,
buildings,limousine,top5,39,3,,
buildings,tobacco shop,top5,37,3,,
buildings,suspension bridge,top5,35,3,,
buildings,window screen,top5,35,3,,
buildings,vault,top5,34,3,,
buildings,castle,top1,32,3,,
buildings,lumbermill,top5,31,3,,
buildings,alp,top5,30,3,,
buildings,church,top1,30,3,,
buildings,pier,top1,30,3,,
buildings,restaurant,top5,29,3,,
buildings,window shade,top5,29,3,,
buildings,bannister,top5,27,3,,
buildings,greenhouse,top5,27,3,,
buildings,library,top1,25,3,,
buildings,pole,top5,25,3,,
buildings,radio telescope,top5,25,3,,
buildings,bookshop,top5,24,3,,
buildings,streetcar,top1,24,3,,
buildings,breakwater,top5,23,3,,
buildings,maze,top5,22,3,,
buildings,patio,top1,22,3,,
buildings,viaduct,top5,22,3,,
buildings,cab,top1,21,3,,
buildings,crate,top5,21,3,,
buildings,passenger car,top5,21,3,,
buildings,recreational vehicle,top5,21,3,,
buildings,minivan,top5,19,3,,
buildings,obelisk,top1,19,3,,
buildings,scoreboard,top1,19,3,,
buildings,trailer truck,top5,19,3,,
buildings,monitor,top5,18,3,,
buildings,submarine,top5,18,3,,
buildings,airship,top1,17,3,,
buildings,beacon,top1,16,3,,
buildings,drilling platform,top1,16,3,,
buildings,freight car,top5,16,3,,
buildings,dome,top1,15,3,,
buildings,liner,top1,15,3,,
buildings,paddlewheel,top5,15,3,,
buildings,sliding door,top5,15,3,,
buildings,snowplow,top5,15,3,,
buildings,seashore,top1,14,3,,
buildings,trimaran,top5,14,3,,
buildings,turnstile,top5,14,3,,
buildings,balloon,top5,13,3,,
buildings,minibus,top5,13,3,,
buildings,organ,top5,13,3,,
buildings,park bench,top5,13,3,,
buildings,space shuttle,top5,13,3,,
buildings,thatch,top1,13,3,,
buildings,traffic light,top1,13,3,,
buildings,aircraft carrier,top5,12,3,,
buildings,flagpole,top1,12,3,,
buildings,garbage truck,top5,12,3,,
buildings,missile,top5,12,3,,
buildings,police van,top5,12,3,,
buildings,space heater,top5,12,3,,
buildings,steel arch bridge,top1,12,3,,
buildings,stupa,top5,12,3,,
buildings,amphibian,top5,11,3,,
buildings,bookcase,top5,11,3,,
buildings,convertible,top5,11,3,,
buildings,crane,top1,11,3,,
buildings,fire engine,top5,11,3,,
buildings,jinrikisha,top5,11,3,,
buildings,picket fence,top1,11,3,,
buildings,radiator,top5,11,3,,
buildings,schooner,top5,11,3,,
buildings,street sign,top1,11,3,,
buildings,tile roof,top1,11,3,,
buildings,triumphal arch,top1,11,3,,
buildings,valley,top5,11,3,,
buildings,analog clock,top5,10,3,,
buildings,container ship,top1,10,3,,
buildings,grocery store,top5,10,3,,
buildings,shopping basket,top5,10,3,,
buildings,sundial,top5,10,3,,
buildings,water tower,top1,10,3,,
buildings,fireboat,top1,9,3,,
buildings,fountain,top1,9,3,,
buildings,mosque,top1,9,3,,
buildings,moving van,top1,9,3,,
buildings,projectile,top5,9,3,,
buildings,bullet train,top5,8,3,,
buildings,catamaran,top5,8,2,,
buildings,electric fan,top5,8,3,,
buildings,jigsaw puzzle,top5,8,3,,
buildings,promontory,top5,8,3,,
buildings,shopping cart,top5,8,3,,
buildings,tow truck,top5,8,3,,
buildings,worm fence,top1,8,3,,
buildings,yurt,top5,8,3,,
buildings,ambulance,top5,7,2,,
buildings,barbershop,top5,7,3,,
buildings,birdhouse,top5,7,3,,
buildings,car mirror,top5,7,2,,
buildings,coil,top5,7,3,,
buildings,dam,top1,7,3,,
buildings,golfcart,top5,7,3,,
buildings,maypole,top5,7,3,,
buildings,rain barrel,top5,7,3,,
buildings,stage,top5,7,3,,
buildings,tobacco shop,top1,7,3,,
buildings,vending machine,top5,7,3,,
buildings,wing,top5,7,3,,
buildings,Model T,top5,6,3,,
buildings,airliner,top5,6,3,,
buildings,barn,top1,6,3,,
buildings,carousel,top5,6,3,,
buildings,four-poster,top5,6,3,,
buildings,hamper,top5,6,2,,
buildings,lumbermill,top1,6,3,,
buildings,megalith,top5,6,3,,
buildings,pedestal,top1,6,3,,
buildings,school bus,top5,6,3,,
buildings,snowplow,top1,6,3,,
buildings,trolleybus,top1,6,3,,
buildings,academic gown,top5,5,3,,
buildings,altar,top5,5,2,,
buildings,beach wagon,top5,5,2,,
buildings,chime,top5,5,3,,
buildings,cliff,top5,5,3,,
buildings,electric locomotive,top5,5,3,,
buildings,forklift,top5,5,3,,
buildings,maze,top1,5,3,,
buildings,minivan,top1,5,3,,
buildings,radio,top5,5,3,,
buildings,stone wall,top5,5,2,,
buildings,theater curtain,top5,5,3,,
buildings,vault,top1,5,3,,
buildings,volcano,top5,5,2,,
buildings,window screen,top1,5,3,,
buildings,window shade,top1,5,3,,
buildings,aircraft carrier,top1,4,3,,
buildings,apiary,top5,4,2,,
buildings,candle,top5,4,3,,
buildings,carpenter's kit,top5,4,3,,
buildings,cassette,top5,4,3,,
buildings,chainlink fence,top5,4,2,,
buildings,dock,top1,4,3,,
buildings,entertainment center,top5,4,3,,
buildings,fire screen,top5,4,3,,
buildings,gas pump,top5,4,3,,
buildings,greenhouse,top1,4,3,,
buildings,guillotine,top5,4,3,,
buildings,horse cart,top5,4,2,,
buildings,limousine,top1,4,3,,
buildings,medicine chest,top5,4,3,,
buildings,organ,top1,4,3,,
buildings,parachute,top5,4,3,,
buildings,passenger car,top1,4,3,,
buildings,radiator,top1,4,3,,
buildings,rocking chair,top5,4,3,,
buildings,shopping cart,top1,4,3,,
buildings,snowmobile,top5,4,3,,
buildings,sports car,top5,4,3,,
buildings,steam locomotive,top5,4,2,,
buildings,submarine,top1,4,3,,
buildings,torch,top5,4,3,,
buildings,totem pole,top5,4,3,,
buildings,unicycle,top5,4,3,,
buildings,web site,top5,4,2,,
buildings,Windsor tie,top5,3,2,,
buildings,abaya,top5,3,3,,
buildings,bannister,top1,3,3,,
buildings,binder,top5,3,2,,
buildings,book jacket,top5,3,2,,
buildings,canoe,top5,3,3,,
buildings,crate,top1,3,3,,
buildings,desk,top5,3,2,,
buildings,desktop computer,top5,3,3,,
buildings,fire engine,top1,3,3,,
buildings,geyser,top5,3,2,,
buildings,golf ball,top5,3,3,,
buildings,gondola,top1,3,3,,
buildings,grille,top5,3,2,,
buildings,harp,top5,3,3,,
buildings,harvester,top5,3,2,,
buildings,jinrikisha,top1,3,3,,
buildings,marimba,top5,3,2,,
buildings,microphone,top5,3,2,,
buildings,motor scooter,top5,3,2,,
buildings,notebook,top5,3,2,,
buildings,pole,top1,3,3,,
buildings,pot,top5,3,2,,
buildings,prayer rug,top5,3,2,,
buildings,racer,top5,3,2,,
buildings,restaurant,top1,3,3,,
buildings,sandbar,top5,3,2,,
buildings,schooner,top1,3,3,,
buildings,screw,top5,3,2,,
buildings,screwdriver,top5,3,2,,
buildings,shoji,top5,3,2,,
buildings,shower curtain,top5,3,2,,
buildings,space heater,top1,3,3,,
buildings,space shuttle,top1,3,3,,
buildings,spotlight,top5,3,1,,
buildings,stretcher,top5,3,3,,
buildings,studio couch,top5,3,3,,
buildings,swab,top5,3,2,,
buildings,television,top5,3,2,,
buildings,tub,top5,3,2,,
buildings,turnstile,top1,3,3,,
buildings,umbrella,top5,3,2,,
buildings,vestment,top5,3,3,,
buildings,wall clock,top5,3,3,,
buildings,wing,top1,3,3,,
buildings,wreck,top5,3,2,,
buildings,yawl,top5,3,3,,
buildings,abacus,top5,2,2,,
buildings,alp,top1,2,3,,
buildings,bakery,top5,2,2,,
buildings,barbershop,top1,2,3,,
buildings,barrel,top5,2,2,,
buildings,bicycle-built-for-two,top5,2,2,,
buildings,bookshop,top1,2,3,,
buildings,carpenter's kit,top1,2,3,,
buildings,chime,top1,2,3,,
buildings,comic book,top5,2,2,,
buildings,doormat,top5,2,1,,
buildings,file,top5,2,2,,
buildings,folding chair,top5,2,2,,
buildings,freight car,top1,2,3,,
buildings,half track,top5,2,1,,
buildings,hand-held computer,top5,2,2,,
buildings,jeep,top5,2,2,,
buildings,jigsaw puzzle,top1,2,3,,
buildings,lab coat,top1,2,2,,
buildings,lab coat,top5,2,2,,
buildings,lampshade,top5,2,2,,
buildings,lifeboat,top5,2,1,,
buildings,loudspeaker,top5,2,1,,
buildings,mailbox,top5,2,1,,
buildings,manhole cover,top5,2,2,,
buildings,monitor,top1,2,3,,
buildings,mortarboard,top5,2,2,,
buildings,nail,top5,2,2,,
buildings,oil filter,top5,2,2,,
buildings,paddlewheel,top1,2,3,,
buildings,panpipe,top5,2,1,,
buildings,park bench,top1,2,3,,
buildings,pickup,top5,2,1,,
buildings,police van,top1,2,3,,
buildings,radio telescope,top1,2,3,,
buildings,safety pin,top5,2,2,,
buildings,school bus,top1,2,3,,
buildings,screen,top5,2,2,,
buildings,shovel,top5,2,2,,
buildings,sliding door,top1,2,3,,
buildings,slot,top5,2,2,,
buildings,speedboat,top5,2,2,,
buildings,suspension bridge,top1,2,3,,
buildings,toyshop,top5,2,2,,
buildings,viaduct,top1,2,3,,
buildings,web site,top1,2,2,,
buildings,yurt,top1,2,3,,
buildings,Model T,top1,1,3,,
buildings,abaya,top1,1,3,,
buildings,academic gown,top1,1,3,,
buildings,acoustic guitar,top5,1,1,,
buildings,airliner,top1,1,3,,
buildings,analog clock,top1,1,3,,
buildings,ashcan,top5,1,1,,
buildings,barber chair,top5,1,1,,
buildings,barrel,top1,1,2,,
buildings,bathtub,top5,1,1,,
buildings,beaker,top5,1,1,,
buildings,bearskin,top5,1,1,,
buildings,beer bottle,top5,1,1,,
buildings,binoculars,top5,1,1,,
buildings,bobsled,top5,1,1,,
buildings,brass,top5,1,1,,
buildings,breakwater,top1,1,3,,
buildings,bubble,top5,1,1,,
buildings,can opener,top5,1,1,,
buildings,cannon,top5,1,1,,
buildings,canoe,top1,1,3,,
buildings,car mirror,top1,1,2,,
buildings,car wheel,top5,1,1,,
buildings,carousel,top1,1,3,,
buildings,carton,top5,1,1,,
buildings,chainlink fence,top1,1,2,,
buildings,cliff dwelling,top5,1,1,,
buildings,cloak,top5,1,1,,
buildings,comic book,top1,1,2,,
buildings,computer keyboard,top5,1,1,,
buildings,convertible,top1,1,3,,
buildings,crib,top1,1,1,,
buildings,crib,top5,1,1,,
buildings,crutch,top5,1,1,,
buildings,cuirass,top5,1,1,,
buildings,digital watch,top5,1,1,,
buildings,dishwasher,top1,1,1,,
buildings,dishwasher,top5,1,1,,
buildings,dogsled,top5,1,1,,
buildings,doormat,top1,1,1,,
buildings,ear,top1,1,1,,
buildings,ear,top5,1,1,,
buildings,electric fan,top1,1,3,,
buildings,electric guitar,top5,1,1,,
buildings,folding chair,top1,1,2,,
buildings,forklift,top1,1,3,,
buildings,fur coat,top5,1,1,,
buildings,garbage truck,top1,1,3,,
buildings,golfcart,top1,1,3,,
buildings,grocery store,top1,1,3,,
buildings,guillotine,top1,1,3,,
buildings,hamper,top1,1,2,,
buildings,hand-held computer,top1,1,2,,
buildings,honeycomb,top5,1,1,,
buildings,horned viper,top5,1,1,,
buildings,ibex,top5,1,1,,
buildings,indigo bunting,top5,1,1,,
buildings,jean,top5,1,1,,
buildings,lifeboat,top1,1,1,,
buildings,lighter,top5,1,1,,
buildings,measuring cup,top5,1,1,,
buildings,megalith,top1,1,3,,
buildings,microphone,top1,1,2,,
buildings,microwave,top5,1,1,,
buildings,minibus,top1,1,3,,
buildings,mink,top5,1,1,,
buildings,missile,top1,1,3,,
buildings,moped,top5,1,1,,
buildings,mosquito net,top5,1,1,,
buildings,motor scooter,top1,1,2,,
buildings,nail,top1,1,2,,
buildings,notebook,top1,1,2,,
buildings,ocarina,top5,1,1,,
buildings,oil filter,top1,1,2,,
buildings,oscilloscope,top5,1,1,,
buildings,ostrich,top5,1,1,,
buildings,perfume,top5,1,1,,
buildings,photocopier,top5,1,1,,
buildings,pool table,top5,1,1,,
buildings,projector,top5,1,1,,
buildings,promontory,top1,1,3,,
buildings,quill,top5,1,1,,
buildings,quilt,top5,1,1,,
buildings,recreational vehicle,top1,1,3,,
buildings,remote control,top5,1,1,,
buildings,scale,top5,1,1,,
buildings,screen,top1,1,2,,
buildings,screwdriver,top1,1,2,,
buildings,sea lion,top5,1,1,,
buildings,shoe shop,top5,1,1,,
buildings,shopping basket,top1,1,3,,
buildings,shower curtain,top1,1,2,,
buildings,sidewinder,top5,1,1,,
buildings,ski,top5,1,1,,
buildings,skunk,top5,1,1,,
buildings,sleeping bag,top5,1,1,,
buildings,slot,top1,1,2,,
buildings,space bar,top5,1,1,,
buildings,sports car,top1,1,3,,
buildings,stage,top1,1,3,,
buildings,steam locomotive,top1,1,2,,
buildings,stole,top5,1,1,,
buildings,stone wall,top1,1,2,,
buildings,stretcher,top1,1,3,,
buildings,studio couch,top1,1,3,,
buildings,stupa,top1,1,3,,
buildings,suit,top1,1,1,,
buildings,suit,top5,1,1,,
buildings,swab,top1,1,2,,
buildings,swimming trunks,top5,1,1,,
buildings,swing,top5,1,1,,
buildings,switch,top5,1,1,,
buildings,syringe,top5,1,1,,
buildings,tank,top5,1,1,,
buildings,tape player,top5,1,1,,
buildings,theater curtain,top1,1,3,,
buildings,thimble,top1,1,1,,
buildings,thimble,top5,1,1,,
buildings,thresher,top5,1,1,,
buildings,throne,top5,1,1,,
buildings,toilet seat,top5,1,1,,
buildings,tow truck,top1,1,3,,
buildings,tractor,top5,1,1,,
buildings,trailer truck,top1,1,3,,
buildings,trimaran,top1,1,3,,
buildings,tripod,top5,1,1,,
buildings,unicycle,top1,1,3,,
buildings,vacuum,top5,1,1,,
buildings,valley,top1,1,3,,
buildings,vending machine,top1,1,3,,
buildings,wardrobe,top5,1,1,,
buildings,water bottle,top5,1,1,,
buildings,wine bottle,top5,1,1,,
buildings,wool,top5,1,1,,
buildings,wreck,top1,1,2,,
forest,valley,top5,641,3,,
forest,lakeside,top5,579,3,,
forest,worm fence,top5,380,3,,
forest,valley,top1,287,3,,
forest,mountain bike,top5,281,3,,
forest,alp,top5,253,3,,
forest,cliff,top5,246,3,,
forest,stone wall,top5,190,3,,
forest,mountain tent,top5,167,3,,
forest,suspension bridge,top5,164,3,,
forest,park bench,top5,139,3,,
forest,lakeside,top1,129,3,,
forest,viaduct,top5,103,3,,
forest,maze,top5,102,3,,
forest,worm fence,top1,87,3,,
forest,geyser,top5,83,3,,
forest,dam,top5,82,3,,
forest,greenhouse,top5,79,3,,
forest,mountain bike,top1,77,3,,
forest,boathouse,top5,71,3,,
forest,unicycle,top5,70,3,,
forest,volcano,top5,69,3,,
forest,fountain,top5,66,3,,
forest,canoe,top5,63,3,,
forest,swing,top5,62,3,,
forest,megalith,top5,60,3,,
forest,seashore,top5,55,3,,
forest,bicycle-built-for-two,top5,53,3,,
forest,barn,top5,47,3,,
forest,pole,top5,45,3,,
forest,snowmobile,top5,44,3,,
forest,yurt,top5,44,3,,
forest,suspension bridge,top1,42,3,,
forest,promontory,top5,41,3,,
forest,dogsled,top5,38,3,,
forest,tusker,top5,38,3,,
forest,American black bear,top5,37,3,,
forest,chime,top5,37,3,,
forest,oxcart,top5,37,3,,
forest,cloak,top5,36,3,,
forest,maypole,top5,36,3,,
forest,picket fence,top5,35,3,,
forest,snowplow,top5,35,3,,
forest,bison,top5,34,3,,
forest,bittern,top5,34,3,,
forest,pot,top5,33,3,,
forest,hen-of-the-woods,top5,32,3,,
forest,mobile home,top5,32,3,,
forest,thatch,top5,32,3,,
forest,sandbar,top5,31,3,,
forest,mountain tent,top1,30,3,,
forest,patio,top5,30,3,,
forest,solar dish,top5,30,3,,
forest,lumbermill,top5,29,3,,
forest,trailer truck,top5,29,3,,
forest,steel arch bridge,top5,28,3,,
forest,park bench,top1,27,3,,
forest,bow,top5,26,3,,
forest,alp,top1,25,3,,
forest,apiary,top5,25,3,,
forest,ear,top5,25,3,,
forest,shower curtain,top5,25,3,,
forest,cliff,top1,24,3,,
forest,howler monkey,top5,24,3,,
forest,indri,top5,24,3,,
forest,castle,top5,23,3,,
forest,church,top5,23,3,,
forest,greenhouse,top1,23,3,,
forest,moped,top5,23,3,,
forest,stone wall,top1,23,3,,
forest,car mirror,top5,21,3,,
forest,impala,top5,21,3,,
forest,organ,top5,21,3,,
forest,prison,top5,21,3,,
forest,ski,top5,21,3,,
forest,spider monkey,top5,21,3,,
forest,swing,top1,21,3,,
forest,fountain,top1,20,3,,
forest,window shade,top5,20,3,,
forest,birdhouse,top5,19,3,,
forest,capuchin,top5,19,3,,
forest,geyser,top1,19,3,,
forest,snowmobile,top1,19,3,,
forest,water buffalo,top5,19,3,,
forest,bittern,top1,18,3,,
forest,head cabbage,top5,18,3,,
forest,rapeseed,top5,18,3,,
forest,sarong,top5,18,3,,
forest,flagpole,top5,17,3,,
forest,hartebeest,top5,17,3,,
forest,jeep,top5,17,3,,
forest,spider web,top5,17,3,,
forest,golfcart,top5,16,3,,
forest,totem pole,top5,16,3,,
forest,walking stick,top5,16,3,,
forest,broom,top5,15,3,,
forest,chime,top1,15,3,,
forest,bannister,top5,14,3,,
forest,cloak,top1,14,3,,
forest,little blue heron,top5,14,3,,
forest,obelisk,top5,14,3,,
forest,plow,top5,14,3,,
forest,porcupine,top5,14,3,,
forest,shovel,top5,14,3,,
forest,three-toed sloth,top5,14,3,,
forest,warthog,top5,14,3,,
forest,wild boar,top5,14,3,,
forest,Indian elephant,top5,13,3,,
forest,beaver,top5,13,3,,
forest,bighorn,top5,13,3,,
forest,bobsled,top5,13,3,,
forest,cardoon,top5,13,3,,
forest,gazelle,top5,13,3,,
forest,horse cart,top5,13,3,,
forest,maze,top1,13,3,,
forest,peacock,top5,13,3,,
forest,water tower,top5,13,3,,
forest,European gallinule,top5,12,3,,
forest,coral fungus,top5,12,3,,
forest,corn,top5,12,3,,
forest,crash helmet,top5,12,3,,
forest,go-kart,top5,12,3,,
forest,horizontal bar,top5,12,3,,
forest,sea urchin,top5,12,3,,
forest,turnstile,top5,12,3,,
forest,volcano,top1,12,3,,
forest,American egret,top5,11,3,,
forest,armadillo,top5,11,3,,
forest,barrow,top5,11,3,,
forest,buckeye,top5,11,3,,
forest,colobus,top5,11,3,,
forest,coral reef,top5,11,3,,
forest,ear,top1,11,3,,
